source,target,weight,methods,emotional,surprisal,pmi,relation
российской федерации,научно-технологическое развитие российской,16,"['cooccurrence', 'emotional', 'perplexity']",True,17.369,5.1629,
ссср,ниизм,2,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,5.1557,
саров,снежинск,9,"['anaphora', 'cooccurrence', 'rhetorical', 'perplexity']",,16.0111,7.2643,contrast
саров,нижегородской области,2,"['cooccurrence', 'perplexity']",,17.5961,7.7948,
новосибирске,состоялась рабочая встреча,2,"['cooccurrence', 'perplexity']",,17.0678,6.7312,
новосибирске,новосибирске состоялась рабочая,2,"['cooccurrence', 'perplexity']",,17.0678,6.7312,
новосибирске,рабочая встреча полномочного,2,"['cooccurrence', 'perplexity']",,17.5961,6.5937,
академии наук,ниизм,2,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,5.6488,
академии наук,министерства науки,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.3268,
черноголовке,институт физики,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.3702,
королев,королевской больницы,4,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.7656,
николай красников,наукограда николай красников,4,"['cooccurrence', 'emotional', 'perplexity']",True,16.9793,5.8037,
николай,безотеческих,2,"['cooccurrence', 'perplexity']",,16.0111,6.0391,
новосибирской области,кольцово новосибирской,3,"['cooccurrence', 'perplexity']",,16.7807,6.4037,
тасс,рудольф дик,2,"['cooccurrence', 'perplexity']",,17.5961,6.7714,
тасс,наукограда николай красников,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.4495,
одним из,наталья бунич,2,"['anaphora', 'perplexity']",,16.0929,5.0638,
страх,юлия коротун,3,"['anaphora', 'cooccurrence', 'perplexity']",,17.5961,7.8676,
получил статус,подмосковный город,3,"['cooccurrence', 'perplexity']",,16.9915,5.8655,
получил статус,получил статус наукограда,7,"['cooccurrence', 'perplexity']",,15.4788,5.503,
получил статус,город долгопрудный,6,"['cooccurrence', 'perplexity']",,16.5953,5.2526,
получил статус,долгопрудный получил статус,5,"['cooccurrence', 'perplexity']",,16.0607,5.5607,
получил статус,статус наукограда россии,2,"['cooccurrence', 'perplexity']",,15.4788,5.7831,
президента россии,россии владимира путина,3,"['cooccurrence', 'emotional', 'perplexity']",True,16.1879,7.1084,
городской округ,городской округ серпухов,6,"['cooccurrence', 'perplexity']",,16.1915,5.3677,
городской округ,городской округ большой,2,"['cooccurrence', 'perplexity']",,16.4556,5.7369,
научный центр российской,королёва,2,"['anaphora', 'cooccurrence', 'perplexity']",,16.9856,6.6381,
московская,московская область,17,"['cooccurrence', 'emotional', 'perplexity']",True,15.5524,7.0733,
московская,глава комитета госдумы,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.8927,
московская,вконтакте телеграм поделиться,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.8927,
московская область,глава комитета госдумы,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.8187,
московская область,вконтакте телеграм поделиться,2,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.8187,
королёва,глава наукограда игорь,3,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.6995,
особой экономической,особой экономической зоне,12,"['anaphora', 'cooccurrence', 'perplexity']",,16.2447,6.1978,
цкп,цкп скиф,2,"['cooccurrence', 'perplexity']",,15.0961,6.7483,
об этом,министерства инвестиций,2,"['cooccurrence', 'perplexity']",,16.7367,5.6249,
владимир,владимиром путиным,5,"['cooccurrence', 'emotional', 'perplexity']",True,17.5961,5.3813,
нпо,нпо машиностроения,8,"['cooccurrence', 'perplexity']",,16.0111,8.1201,
нпо,станций,2,"['anaphora', 'perplexity']",,17.5961,5.0826,
нпо,федерального бюджета,2,"['anaphora', 'perplexity']",,17.5961,5.0826,
москве,science bar hopping,3,"['cooccurrence', 'perplexity']",,17.5961,6.6577,
сибирском федеральном округе,федерации в сибирском,3,"['cooccurrence', 'perplexity']",,17.5961,5.6812,
сибирском федеральном округе,президента российской,3,"['cooccurrence', 'perplexity']",,17.5961,5.4402,
сибирском федеральном округе,анатолий серышев посетил,2,"['cooccurrence', 'perplexity']",,17.3739,5.3077,
сибирском федеральном округе,рабочая встреча полномочного,2,"['cooccurrence', 'perplexity']",,17.5961,6.0962,
