source,target
научный центр российской,королёва
чернышенко,дмитрий чернышенко
институт физики,черноголовке
михаилом мишустиным,мишустин
инновационного центра сколково,центра сколково
иннополиса дмитрий вандюков,дмитрий
королев,королевской больницы
стефан перевалов,стефан
стефан перевалов,перевалов
мфти,долина физтеха
большой серпухов,городской округ большой
николай мулянский,главная новости автор
области екатерина зиновьева,московской области екатерина
союза развития наукоградов,михаил ковальчук избран
союза развития наукоградов,ковальчук
подмосковному городу,центров развития науки
подмосковному городу,крупнейших центров развития
светлана владимировна фортова,фортова
методист музея москвы,центр гиляровского
методист музея москвы,москвы
дмитрий воробьев,дмитрий
дмитрий воробьев,фрязино дмитрий воробьев
особой экономической зоне,особой экономической
принял во втором,чтении законодательные поправки
принял во втором,втором чтении законодательные
принял во втором,мажилис принял
нпо машиностроения,нпо
михаил ковальчук избран,ковальчук
руслана шагалеева,шагалеев
инфраструктуры,бийске
стефан,пьером де мероном
стефан,епифаний
стефан,перевалов
депутат государственной думы,думы геннадий скляр
одним из,наталья бунич
получившем в начале,начале февраля
получившем в начале,начале февраля статус
юные виртуозы ударных,черноголовки и фрязино
юные виртуозы ударных,школ искусств черноголовки
мишустин,михаил мишустин
мишустин,премьер-министр михаил мишустин
главных центров науки,главных центров
главных центров науки,центров науки
великой отечественной,великой отечественной войны
шагалеев,руслан шагалеев
шагалеев,руслан
бурда,михаил бурда
николай никифоров возглавил,никифоров
тасс,рудольф дик
подмосковный город,долгопрудный получил статус
подмосковный город,получил статус
подмосковный город,город долгопрудный
подмосковный город,получил статус наукограда
статус позволит долгопрудному,социально-экономического развития
статус позволит долгопрудному,федеральное финансирование
статус позволит долгопрудному,также на
статус позволит долгопрудному,позволит долгопрудному получать
дмитрий демешин,дмитрий
владимир,владимиром путиным
медиабанк подмосковья,ольга вельшикаева
валерий,уральского отделения ран
валерий,ран валерий бухтияров
валерий,валерий чарушин
валерий,валерий фальков
сколково парк,cambridge university
сколково парк,atlantic international school
николай пушков,николай
цкп,цкп скиф
дмитрий,дмитрий вандюков рассказал
дмитрий,дмитрий медведев
дмитрий,фрязино дмитрий воробьев
николая красникова,красников
наукограде кольцово,эксплуатацию центра
получил статус наукограда,долгопрудный получил статус
получил статус наукограда,статус наукограда россии
получил статус наукограда,город долгопрудный
получил статус наукограда,получил статус
главная образование автор,юлия арбузова
школ искусств черноголовки,черноголовки и фрязино
статус наукограда россии,долгопрудный получил статус
статус наукограда россии,получил статус
премьер-министр михаил мишустин,михаил мишустин
мая главная,победы
улице циолковского,ветеранов
улице циолковского,труда на улице
улице циолковского,сквер ветеранов труда
новосибирскую область,поездки в новосибирскую
сибирском федеральном округе,анатолий серышев посетил
сибирском федеральном округе,президента российской
сибирском федеральном округе,рабочая встреча полномочного
сибирском федеральном округе,федерации в сибирском
фрилансером,фриланс
труда на улице,ветеранов
труда на улице,сквер ветеранов труда
ниизм,ссср
ниизм,академии наук
нижегородской области,саров
андрей воробьев,московской области андрей
андрей воробьев,андрей
фриланс,юлия коротун
республика татарстан,иннополис
геонод разведка,геонод
область посетил центр,новосибирскую область посетил
область посетил центр,посетил центр коллективного
чтении законодательные поправки,втором чтении законодательные
чтении законодательные поправки,мажилис принял
начале февраля,начале февраля статус
городской округ серпухов,городской округ
позволит долгопрудному получать,социально-экономического развития
позволит долгопрудному получать,федеральное финансирование
позволит долгопрудному получать,также на
московская,московская область
московская,лдпр алексей диденко
