source,target,weight,methods,pmi
россии,браузер не поддерживает,2,['cooccurrence'],5.164
михаил кузнецов,михаил,4,['cooccurrence'],5.3197
михаил,россии михаил,2,['cooccurrence'],5.0201
михаил,россии михаил мишустин,2,['cooccurrence'],5.0201
михаил,премьер-министр михаил мишустин,4,['cooccurrence'],5.6982
михаил,михаил мишустин подписал,2,['cooccurrence'],6.0201
ссср,академии наук,4,['cooccurrence'],6.265
науки,министерства инвестиций,3,['cooccurrence'],5.2347
дубна,подмосковные дубна,2,['cooccurrence'],5.1946
москвы,новой москвы,9,['cooccurrence'],6.2974
например,калужское шоссе,2,['cooccurrence'],5.3552
новосибирской области,мвд,2,['cooccurrence'],5.1242
новосибирской области,кольцово новосибирской области,3,['cooccurrence'],6.014
новосибирской области,кольцово новосибирской,3,['cooccurrence'],6.014
николай красников,николай,12,['cooccurrence'],5.508
николай красников,кольцово николай красников,3,['cooccurrence'],6.986
николай красников,наукограда николай красников,3,['cooccurrence'],6.986
николай,кольцово николай красников,3,['cooccurrence'],5.4011
николай,наукограда николай красников,3,['cooccurrence'],5.4011
обнинска,обнинск,10,['cooccurrence'],6.1701
обнинск,обнинске,8,['cooccurrence'],6.8482
президента россии,президента россии владимира,2,['cooccurrence'],8.1275
президента россии,россии владимира путина,2,['cooccurrence'],8.1275
городской округ,городской округ серпухов,6,['cooccurrence'],5.4577
городской округ,округ большой серпухов,2,['cooccurrence'],5.68
городской округ,городской округ большой,2,['cooccurrence'],5.68
городской округ,внуково,2,['cooccurrence'],6.417
область,московская,16,['cooccurrence'],5.0006
область,московская область,16,['cooccurrence'],5.1001
москва,инновационного центра сколково,2,['cooccurrence'],5.1809
москва,центра сколково,2,['cooccurrence'],5.1809
москва,елена,3,['cooccurrence'],6.3065
жуковского,цаги,3,['cooccurrence'],7.0426
институт,nature index,2,['cooccurrence'],5.6074
московская,московская область,16,['cooccurrence'],6.5508
серпухов,серпухова,16,['cooccurrence'],5.1643
королев,королеве,9,['cooccurrence'],5.7487
королев,подмосковные дубна,2,['cooccurrence'],5.2418
троицк,троицкое,11,['cooccurrence'],5.4414
черноголовка,наукограде черноголовка,6,['cooccurrence'],5.0802
анатолий серышев,анатолий серышев посетил,3,['cooccurrence'],5.1775
федеральное финансирование,статус позволит долгопрудному,2,['cooccurrence'],5.569
федеральное финансирование,позволит долгопрудному получать,2,['cooccurrence'],5.569
развитие российской федерации,научно-технологическое развитие российской,8,['cooccurrence'],6.3991
финансирование из федерального,федерального бюджета,4,['cooccurrence'],6.2364
финансирование из федерального,подмосковные города,2,['cooccurrence'],5.6515
финансирование из федерального,стратегий социально-экономического развития,2,['cooccurrence'],5.6119
финансирование из федерального,имеющие статус наукоградов,2,['cooccurrence'],6.014
финансирование из федерального,стратегий социально-экономического,2,['cooccurrence'],5.6119
королёв,королёва,29,['cooccurrence'],5.5204
подмосковные города,федерального бюджета,2,['cooccurrence'],5.154
подмосковные города,стратегий социально-экономического развития,2,['cooccurrence'],5.5295
подмосковные города,имеющие статус наукоградов,2,['cooccurrence'],5.9316
подмосковные города,стратегий социально-экономического,2,['cooccurrence'],5.5295
