source,target,weight,methods,pmi
троицке,варилрикса,2,['graphrag_baseline'],4.0455
троицке,кфс,2,['graphrag_baseline'],4.0455
троицке,гипер-ленте,2,['graphrag_baseline'],4.0455
троицке,ecostandard group,2,['graphrag_baseline'],4.6304
троицке,церн,2,['graphrag_baseline'],4.6304
троицке,частные клиники,2,['graphrag_baseline'],4.6304
троицке,высшей школы экономики,2,['graphrag_baseline'],4.0455
троицке,свао,2,['graphrag_baseline'],4.0455
ран,байтик,2,['graphrag_baseline'],4.4978
черноголовке,дома ученых,2,['graphrag_baseline'],5.4114
саров,снежинск,9,['graphrag_baseline'],5.0363
саров,нижегородской области,4,['graphrag_baseline'],4.9039
калининград,кёнигсберга,2,['graphrag_baseline'],4.246
земли,сергея королёва,2,['graphrag_baseline'],4.5471
земли,техноспарк,2,['graphrag_baseline'],4.2517
земли,солнца,4,['graphrag_baseline'],5.5471
обнинске,обнинска,4,['graphrag_baseline'],5.0693
обнинске,европе,2,['graphrag_baseline'],4.2392
института химической физики,петра i,2,['graphrag_baseline'],4.0278
королёве,кёнигсберга,2,['graphrag_baseline'],4.7765
королёве,сергея королёва,2,['graphrag_baseline'],4.1245
троицка,т-клуб,2,['graphrag_baseline'],4.156
троицка,радужной улице,2,['graphrag_baseline'],4.156
подлипки,кёнигсберга,2,['graphrag_baseline'],5.1992
н.е. жуковского,николая егоровича жуковского,2,['graphrag_baseline'],6.7538
н.е. жуковского,жуковском,2,['graphrag_baseline'],4.3788
николая егоровича жуковского,жуковском,2,['graphrag_baseline'],4.1861
николая егоровича жуковского,жуковского,2,['graphrag_baseline'],5.7032
серпухов,серпухову,4,['graphrag_baseline'],4.0455
японии,аэс,2,['graphrag_baseline'],4.3615
японии,нии,4,['graphrag_baseline'],4.0956
японии,сергея павловича королёва,2,['graphrag_baseline'],4.3963
жуковском,жуковского,5,['graphrag_baseline'],4.6501
жуковском,алексея стаханова,2,['graphrag_baseline'],4.3788
аэс,обнинска,2,['graphrag_baseline'],4.9989
нии,китае,2,['graphrag_baseline'],4.733
москве,новой москве,3,['graphrag_baseline'],4.0573
москве,высшей школы экономики,2,['graphrag_baseline'],4.0573
королёв,королёва,28,['graphrag_baseline'],4.3999
цниимаш,ркк «энергия»,7,['graphrag_baseline'],5.7612
