source,target,weight,methods,relation,surprisal,pmi,emotional
мира,жизни,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,2.6297,
мира,власть,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,4.1602,
мира,истины,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.5752,
мира,сергей,2,"['cooccurrence', 'perplexity']",,10.7177,2.8382,
жизни,власть,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,2.9192,
жизни,россии,2,"['cooccurrence', 'emotional', 'perplexity']",,10.7177,3.5041,True
жизни,истины,4,"['cooccurrence', 'emotional', 'rhetorical', 'perplexity']",contrast,10.7177,0.7492,True
жизни,сергей,2,"['cooccurrence', 'perplexity']",,10.7177,1.5972,
жизни,концепция,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.8412,
жизни,русская,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.4452,
жизни,русская истина,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.7672,
власть,истины,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.8647,
истины,россии,2,"['cooccurrence', 'emotional', 'perplexity']",,10.7177,2.4497,True
истины,рустем,2,"['cooccurrence', 'perplexity']",,10.7177,1.1278,
истины,рустем вахитов,2,"['cooccurrence', 'perplexity']",,10.7177,1.1278,
истины,добро,2,"['cooccurrence', 'perplexity']",,9.7177,3.4497,
истины,вахитов,2,"['cooccurrence', 'perplexity']",,10.7177,1.1278,
истины,человек,3,"['cooccurrence', 'perplexity']",,10.7177,1.7127,
истины,русской,3,"['cooccurrence', 'perplexity']",,10.7177,1.1278,
истины,поиск,3,"['cooccurrence', 'perplexity']",,10.7177,1.8647,
истины,поиск истины,2,"['cooccurrence', 'perplexity']",,10.7177,2.4497,
сергей,воронин,3,"['cooccurrence', 'perplexity']",,8.7177,3.4232,
сергей,сергей воронин,3,"['cooccurrence', 'perplexity']",,9.7177,3.4232,
сергей,концепция,2,"['cooccurrence', 'perplexity']",,10.7177,2.0498,
концепция,русская,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.8977,
концепция,воронин,2,"['cooccurrence', 'perplexity']",,10.7177,2.4972,
концепция,сергей воронин,2,"['cooccurrence', 'perplexity']",,10.7177,2.4972,
концепция,русская истина,3,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,2.2197,
истина,истину,8,"['cooccurrence', 'perplexity']",,10.7177,0.5154,
истина,истине,6,"['cooccurrence', 'perplexity']",,10.7177,0.9935,
истина,нечто,2,"['cooccurrence', 'perplexity']",,10.7177,1.2159,
истина,проблема,4,"['cooccurrence', 'emotional', 'perplexity']",,9.7177,2.2159,True
истина,взгляд,2,"['cooccurrence', 'perplexity']",,10.7177,0.6309,
истина,правду,2,"['cooccurrence', 'perplexity']",,10.7177,0.6309,
истина,идея,3,"['cooccurrence', 'perplexity']",,10.7177,0.6309,
истина,понятия,4,"['cooccurrence', 'rhetorical', 'perplexity']",contrast,10.7177,1.4085,
истина,русская истина,7,"['cooccurrence', 'emotional', 'rhetorical', 'perplexity']",contrast,10.7177,0.7013,True
русская,русской,3,"['cooccurrence', 'perplexity']",,10.7177,2.2388,
русская,русская истина,7,"['cooccurrence', 'emotional', 'rhetorical', 'perplexity']",contrast,9.4252,3.0461,True
истину,нечто,2,"['cooccurrence', 'perplexity']",,10.7177,3.5041,
истину,истине,2,"['cooccurrence', 'perplexity']",,10.7177,1.6968,
